tpp_australian_labor_party_percentage, total_formal_votes, tpp_australian_labor_party_votes, state, division_name, polling_place_type_id, tpp_swing, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, longitude, latitude, polling_place_id, division_id, polling_place_name
48.22,674,325,"QLD","Ryan","1",-5.44,51.78,349,152.9962944,-27.4979211,"6521","177","St Lucia"
49.13,1956,961,"QLD","Ryan","1",-3.38,50.87,995,152.9444718,-27.4429827,"6524","177","The Gap"
50.53,2064,1043,"QLD","Ryan","1",-6.08,49.47,1021,152.9513168,-27.4494476,"6525","177","The Gap East"
42.68,3702,1580,"QLD","Ryan","5",1.86,57.32,2122,152.9382447,-27.4401591,"83414","177","The Gap PPVC"
44.88,1845,828,"QLD","Ryan","1",-3.51,55.12,1017,152.936,-27.4374,"6528","177","The Gap West"
54.84,2750,1508,"QLD","Ryan","1",-5.88,45.16,1242,152.9883313,-27.4853453,"31470","177","Toowong"
49.4,1255,620,"QLD","Ryan","1",-4.12,50.6,635,152.981,-27.4872,"6527","177","Toowong West"
45.82,478,219,"QLD","Ryan","1",-2.84,54.18,259,152.869,-27.4785,"6501","177","Upper Brookfield"
38.27,1445,553,"QLD","Ryan","1",5.84,61.73,892,152.9261899,-27.4092237,"58544","177","Upper Kedron"
32.1,352,113,"QLD","Wide Bay","1",3.1,67.9,239,152.6730076,-26.3465259,"6537","178","Amamoor"
39.06,1229,480,"QLD","Wide Bay","1",9.24,60.94,749,152.679,-25.5246,"6538","178","Baddow"
33.88,369,125,"QLD","Wide Bay","1",17.86,66.12,244,152.6227501,-25.8122571,"6539","178","Bauple"
42.4,868,368,"QLD","Wide Bay","1",9.39,57.6,500,152.689,-25.5157,"6560","178","Bell Hilltop"
37.5,8,3,"QLD","Wide Bay","5",32.5,62.5,5,152.701645,-25.541819,"65423","178","BLV Wide Bay PPVC"
33.69,279,94,"QLD","Wide Bay","1",6.05,66.31,185,152.8881328,-25.6723807,"6541","178","Boonooroo"
55.34,459,254,"QLD","Wide Bay","1",2.65,44.66,205,152.9970324,-26.2858063,"6543","178","Boreen Point"
33.33,105,35,"QLD","Wide Bay","1",-2.45,66.67,70,152.2612106,-25.5988929,"6547","178","Brooweena"
27.63,514,142,"QLD","Wide Bay","1",8.52,72.37,372,152.6153758,-26.1410941,"6550","178","Chatsworth"
73.64,258,190,"QLD","Wide Bay","1",1.76,26.36,68,151.9566971,-26.2912323,"6551","178","Cherbourg"
10.47,172,18,"QLD","Wide Bay","1",16.4,89.53,154,151.846,-26.108,"6552","178","Cloyna"
36.82,1051,387,"QLD","Wide Bay","1",10.94,63.18,664,152.98479,-25.97097,"47699","178","Cooloola Cove"
56.1,918,515,"QLD","Wide Bay","1",-0.87,43.9,403,152.824,-26.3412,"6554","178","Cooran"
42.46,2727,1158,"QLD","Wide Bay","1",2.29,57.54,1569,152.91055,-26.41816,"5422","178","Cooroy"
41.63,1141,475,"QLD","Wide Bay","1",10.37,58.37,666,152.678,-26.1901,"6573","178","Cootharaba Rd"
35.4,613,217,"QLD","Wide Bay","1",14.6,64.6,396,152.5802449,-26.0824206,"31543","178","Curra"
0.0,0,0,"QLD","Wide Bay","5",-66.67,0.0,0,152.702775,-25.539776,"30169","178","Divisional Office (PREPOLL)"
34.12,255,87,"QLD","Wide Bay","1",10.08,65.88,168,152.7938038,-26.3924544,"6561","178","Federal"
44.13,698,308,"QLD","Wide Bay","1",11.99,55.87,390,152.603,-25.9494,"6564","178","Glenwood"
34.44,453,156,"QLD","Wide Bay","1",3.87,65.56,297,152.7794421,-26.0769034,"6566","178","Goomboorian"
20.81,394,82,"QLD","Wide Bay","1",10.34,79.19,312,152.0650854,-26.1794969,"6567","178","Goomeri"
47.53,970,461,"QLD","Wide Bay","1",3.51,52.47,509,152.7216406,-25.5442097,"6568","178","Granville"
35.09,285,100,"QLD","Wide Bay","1",8.45,64.91,185,152.5601051,-25.9925964,"6569","178","Gunalda"
40.98,1525,625,"QLD","Wide Bay","1",8.52,59.02,900,152.6668328,-26.1883904,"6572","178","Gympie Central"
34.04,332,113,"QLD","Wide Bay","1",3.03,65.96,219,152.7328605,-26.1795131,"6557","178","Gympie East"
37.17,877,326,"QLD","Wide Bay","1",11.19,62.83,551,152.656,-26.1752,"6578","178","Gympie North"
30.92,10784,3334,"QLD","Wide Bay","5",6.51,69.08,7450,152.6666779,-26.1884741,"32767","178","Gympie PPVC"
34.57,836,289,"QLD","Wide Bay","1",7.17,65.43,547,152.6713409,-26.1826105,"6575","178","Horseshoe Bend"
42.89,816,350,"QLD","Wide Bay","1",-0.21,57.11,466,152.6792682,-26.4599189,"6581","178","Imbil"
28.99,1066,309,"QLD","Wide Bay","1",6.83,71.01,757,152.6678373,-26.2283102,"6583","178","Jones Hill"
30.67,375,115,"QLD","Wide Bay","1",6.12,69.33,260,152.6805029,-26.3865917,"6584","178","Kandanga"
28.93,439,127,"QLD","Wide Bay","1",5.22,71.07,312,152.241603,-26.0875366,"6587","178","Kilkivan"
49.69,322,160,"QLD","Wide Bay","1",2.22,50.31,162,152.8717362,-26.2625595,"6592","178","Kin Kin"
38.33,60,23,"QLD","Wide Bay","1",0.82,61.67,37,152.722099,-26.3044498,"6594","178","Kybong"
24.78,230,57,"QLD","Wide Bay","1",2.4,75.22,173,152.4845098,-26.0908019,"6644","178","Lower Wonga"
45.79,1485,680,"QLD","Wide Bay","1",8.64,54.21,805,152.7011422,-25.5390928,"6598","178","Maryborough"
46.35,1137,527,"QLD","Wide Bay","1",7.02,53.65,610,152.694,-25.5225,"6610","178","Maryborough West"
39.02,10378,4049,"QLD","Wide Bay","5",8.42,60.98,6329,152.7023415,-25.5391841,"65764","178","Maryborough WIDE BAY PPVC"
