emp_to_pop, cert, female_par, ogc_fid, median11, male_less_, male_part_, y12, uni, part_rate, ssc_name, ssc2011
0.702381,0.379447,0.701613,31,35625.77778,0.094997,0.79661,0.343874,0.27668,0.757202,"Alstonvale",10031
0.700037,0.364945,0.693626,32,34773.06527,0.112853,0.806478,0.390775,0.24428,0.744177,"Alstonville",10032
0.774813,0.321047,0.744186,68,47424.92308,0.149192,0.893378,0.309829,0.369124,0.816549,"Asquith",10068
0.732265,0.404545,0.730392,69,35672.67532,0.106817,0.837209,0.481818,0.113636,0.78673,"Attunga",10069
0.517724,0.177972,0.484841,70,23692.43952,0.270882,0.755722,0.601747,0.220281,0.625784,"Auburn (NSW)",10070
0.757196,0.308943,0.757037,71,56904.25,0.126378,0.883415,0.218773,0.472284,0.818536,"Austinmer",10071
0.305556,0.237209,0.464789,663,16316.18182,-0.06292,0.401869,0.730233,0.032558,0.45,"Cumborah",10663
0.595238,0.302019,0.602192,34,34327.5501,0.219407,0.821599,0.608954,0.089027,0.707512,"Ambarvale",10034
0.0,0.337748,0.0,35,37734.66667,0.0,0.0,0.470199,0.192053,0.0,"Angledale",10035
0.0,0.421875,0.0,36,37191.24324,0.0,0.0,0.458333,0.119792,0.0,"Anglers Reach",10036
0.689956,0.426667,0.6875,80,35605.14286,0.120192,0.807692,0.408889,0.164444,0.733645,"Balaclava (NSW)",10080
0.0,0.305785,0.0,37,25948.0,0.0,0.0,0.363636,0.330579,0.0,"Angourie",10037
0.0,0.310345,0.0,81,27285.14286,0.0,0.0,0.557471,0.132184,0.0,"Balala",10081
0.666667,0.380192,0.623377,664,27579.37255,0.169076,0.792453,0.523962,0.095847,0.706452,"Cumnock",10664
0.523897,0.225865,0.507042,1622,25288.84507,0.201819,0.708861,0.591985,0.182149,0.603448,"Mount Lewis",11622
0.0,0.328859,0.0,1623,43438.90909,0.0,0.0,0.550336,0.120805,0.0,"Mount Olive (Singleton - NSW)",11623
0.729373,0.381579,0.737489,8414,41786.53211,0.162785,0.900274,0.462171,0.15625,0.0,"Yulara",70216
0.67639,0.432269,0.675966,38,33006.63454,0.124034,0.8,0.447137,0.120595,0.7336,"Anna Bay",10038
0.584071,0.395652,0.6,673,34313.21739,0.083761,0.683761,0.430435,0.173913,0.653153,"Currarong",10673
0.796853,0.193108,0.841105,39,68132.40367,0.064898,0.906003,0.258702,0.54819,0.871294,"Annandale (NSW)",10039
0.797721,0.409742,0.807229,40,50379.74603,0.093356,0.900585,0.362464,0.227794,0.851852,"Annangrove",10040
0.778008,0.415544,0.741597,41,45412.22018,0.155399,0.896996,0.468394,0.116062,0.818278,"Appin (NSW)",10041
0.698539,0.434954,0.686486,46,38510.83186,0.124625,0.811111,0.441524,0.123522,0.744186,"Arcadia Vale",10046
0.0,0.0,0.0,42,18148.0,0.0,0.0,0.0,0.0,0.0,"Apsley (NSW)",10042
0.564935,0.408497,0.594406,43,32039.42857,0.166788,0.761194,0.385621,0.205882,0.670251,"Arakoon",10043
0.0,0.338983,0.0,44,31600.17391,0.0,0.0,0.440678,0.220339,0.0,"Araluen (NSW)",10044
0.785924,0.343658,0.768328,45,49636.88889,0.113291,0.88162,0.348083,0.30826,0.827273,"Arcadia (NSW)",10045
0.0,0.405229,0.0,47,38081.33333,0.0,0.0,0.326797,0.267974,0.0,"Arding",10047
0.0,0.297143,0.0,48,18683.29412,0.0,0.0,0.611429,0.091429,0.0,"Ardlethan",10048
0.0,0.274336,0.0,674,27838.90909,0.0,0.0,0.584071,0.141593,0.0,"Currawarna",10674
0.307978,0.026217,0.737489,8417,23700.08333,0.162785,0.900274,0.149813,0.82397,0.0,"Acton (ACT)",80001
0.645777,0.313351,0.658537,51,24826.43137,0.122362,0.780899,0.580381,0.106267,0.723032,"Ariah Park",10051
0.0,0.289157,0.0,52,32708.0,0.0,0.0,0.548193,0.162651,0.0,"Armatree",10052
0.68628,0.297254,0.726835,53,37390.71718,0.088683,0.815518,0.383996,0.31875,0.769324,"Armidale",10053
0.649761,0.247387,0.641087,54,35768.0,0.181095,0.822181,0.521559,0.231054,0.733879,"Arncliffe",10054
0.758987,0.171053,0.787129,91,77304.43564,0.091992,0.879121,0.249178,0.57977,0.831023,"Balmain East",10091
0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,"Arndell Park",10055
0.0,0.303922,0.0,56,19534.66667,0.0,0.0,0.602941,0.093137,0.0,"Arrawarra",10056
0.670412,0.338235,0.752,57,31494.66667,0.033124,0.785124,0.4375,0.224265,0.7751,"Arrawarra Headland",10057
0.772416,0.183934,0.769487,58,60780.1492,0.132068,0.901554,0.241921,0.574146,0.832982,"Artarmon",10058
0.770599,0.297457,0.764569,59,47625.92208,0.124891,0.88946,0.376109,0.326434,0.824572,"Ashbury",10059
0.45,0.254206,0.510714,675,22605.14286,0.085345,0.596059,0.579439,0.166355,0.550308,"Daceyville",10675
0.0,0.413978,0.0,60,26096.57143,0.0,0.0,0.44086,0.145161,0.0,"Ashby (NSW)",10060
0.0,0.366667,0.0,61,21748.0,0.0,0.0,0.544444,0.088889,0.0,"Ashby Heights",10061
0.416413,0.209824,0.414795,62,20433.20179,0.236398,0.651194,0.732565,0.057611,0.531085,"Ashcroft",10062
0.633502,0.314961,0.624018,2286,33919.90083,0.185982,0.81,0.569179,0.115861,0.710573,"Tolland",12286
0.704492,0.211687,0.746169,63,41388.4908,0.115493,0.861662,0.345312,0.443002,0.803203,"Ashfield (NSW)",10063
0.576087,0.280172,0.58296,64,19994.37681,0.133855,0.716814,0.637931,0.081897,0.654788,"Ashford (NSW)",10064
0.0,0.314607,0.0,65,35264.66667,0.0,0.0,0.601124,0.08427,0.0,"Ashley",10065
